A.-Weineck-Straße;AWK
Aachener Straße;AAC
Abzweig nach Reick;ABR
Achtbeeteweg;ABW
Adalbert-Stifter-Weg;AST
Agentur für Arbeit;AFA
Ahlbecker Straße;AHL
Alaunplatz;ALA
Albert-Hensel-Straße;AHS
Albertplatz;ALP
Albertstadt West;ASW
Albert-Wolf-Platz;AWP
Alexander-Puschkin-Platz;APU
Alfred-Thiele-Straße;ATH
Altburgstädtel;ABU
Altcotta;ACO
Altdobritz;ADB
Altenberger Platz;ABP
Altenberger Straße;ALB
Alter Postweg;NIC
Alter Schlachthof;ASH
Altfranken;AFR
Altkaditz;AKD
Altkaitz;AKA
Altklotzsche;AKL
Altleuben;ALN
Altleubnitz;ALZ
Altlockwitz;ALO
Altmarkt;AMT
Altmockritz;AMO
Altnaußlitz;ANA
Altnickern;ANI
Altnossener Straße;ANS
Altpieschen;API
Altplauen;APL
Altreick;ARE
Altstrehlen;EALS
Alttolkewitz;ATO
Alttrachau;ATR
Altwachwitz;AWW
Altwilschdorf;AWD
Am Altfrankener Park;AAP
Am Anger;AAN
Am Brüchigt;ABT
Am Festspielhaus;AFE
Am Galgenberg;AGB
Am Hellerhof;AHH
Am Hellerrand;AHR
Am Krähenhügel;AKH
Am Lehmberg;AML
Am Olter;AOL
Am Querfeld;AQU
Am Schöpsdamm;ASD
Am Steinacker;ASA
Am Steinigt;ASI
Am Urnenfeld;AUR
Am Viertelacker;AVA
Am Waldrand;AWR
Am Weißen Adler;AWA
Am Wiesenrand;AWS
Am Zwingerteich;AZT
Amalie-Dietrich-Platz;ADP
Amselgrund;AMG
Amselsteg;AMS
An den Winkelwiesen;ADW
An der Flutrinne;ADF
An der Obstplantage;ADO
An der Post;APO
An der Rennbahn;ADR
Angelikastraße;ANG
Anton-/Leipziger Straße;LEI
Arkonastraße;ARK
Arno-Holz-Allee;AHA
Arno-Schellenberg-Str.;ASC
Auf der Höhe;ADH
Augsburger Straße;AUG
Äußerer Matthäusfriedhof;AMF
B.-Smetana-Straße;BSM
Babisnauer Straße;BAB
Bahnhof Klotzsche;BFK
Bahnhof Mitte;BMI
Bahnhof Neustadt;BFN
Bahnhofstraße;BHF
Bamberger Straße;BAM
Bärensteiner Straße;BAE
Bärwalder Straße;BWR
Bauhofstraße;BHS
Bautz./Rothenburger Str.;BTZ
Beckerstraße;BEC
Beerenhut;BEH
Bergfelderweg;BGW
Berggartenstraße;BGG
Berggießhübler Straße;BGH
Bergmannstraße;BMA
Bernhardstraße;BER
Berthold-Haupt-Straße;BHT
Betriebshof Gorbitz;GOR
Betriebshof Trachenberge;TRB
Betriebshof Waltherstr.;BWA
Bf. Neustadt Hansastr.;BNH
Birkenhainer Straße;BIR
Birkenstraße;BKS
Bischofsweg;BIW
Blasewitzer/Fetscherstr.;FET
Bodemerweg;BDW
Böhmertstraße;BMS
Bonhoefferplatz;BHP
Bönischplatz;BNP
Borsbergblick;BBB
Breitscheidstraße;BRS
Bremer Straße;BRM
Breschke und Schuch;EBUS
Brunnenweg;BRU
Brockwitzer Straße;BRW
Buchenstraße;BUC
Budapester Straße;BDP
Bühlau Ullersdorfer Pl.;BUE
Bünaustraße;BNS
Bunsenstraße;BUN
Burgenlandstraße;BGL
Bürgerstraße;BGR
Burgkstraße;BGK
C.-David-Friedrich-Str.;CDF
Cäcilienstraße;CAC
Calberlastraße;CAL
Cämmerswalder Straße;CAM
Campingplatz Mockritz;CMO
Carolaplatz;CAP
Chamissostraße;CHA
Chemnitzer Straße;CHE
Clara-Viebig-Straße;CVI
Clara-Zetkin-Straße;CZN
Clausen-Dahl-Straße;CLD
Comeniusplatz;COP
Conertplatz;CNP
Corinthstraße;COR
Coschütz;COZ
Coschützer Straße;CSS
Cossebaude Bf.;CSB
Cossebauder Straße;COB
Cottaer Straße;COA
Coventrystraße;COV
Cunewalder Straße;CUW
Cunnersdorfer Straße;CUD
Dahlienweg;DAH
Dammweg;DWE
Dampfschiffstraße;DAM
Deutsches Hygiene-Museum;DHM
Diakonissenkrankenhaus;DIK
Dohnaer Straße;DOH
Dölzschen;DOL
Dölzschener Straße;DLZ
Dora-Stock-Straße;DSS
Dorfhainer Straße;DFH
Dorfplatz Oberpoyritz;DOP
Dorfstraße;DOF
Dornblüthstraße;DOR
Dörnichtweg;DNW
Dorothea-Erxleben-Straße;DEX
Dreyßigplatz;DRP
Duckwitzstraße;DUC
Dungerstraße;EDNG
Dürerstraße;DUR
Ebertplatz;EBP
Eichbergstraße;EIC
Eisenbahnstraße;EBS
Eissporthalle;ESH
ElbePark;EPK
Elbschlösser;ESL
Elisabethstraße;ELI
Elsterweg;ELS
Energie-Museum;EEGM
Enno-Heidebroek-Straße;EHS
Erich-Kästner-Straße;EKA
Erna-Berger-Straße;EBE
Ernst-Toller-Straße;ETO
Ernst-Wagner-Straße;EWA
Eschebachstraße;ESB
Eugen-Bracht-Straße;EBR
F.- Schreiter- Straße;FSS
Fabricestraße;FAS
Fehrmannweg;FMW
Felsenkeller;EFLK
Festspielhaus Hellerau;FSH
Fetscherplatz;FEP
Flügelweg;FLW
Flughafen;FLU
Flughafen West;FWE
Flughafenstraße;FLH
Flugzeugwerke;FGW
Fontane-Center;FTC
Försterlingstraße;FLR
Frankenbergstraße;FKB
Fraunhofer-Inst.-Zentrum;FIZ
Freibad Wostra;FWO
Freiheit;FRE
Friedensstraße;FRI
Friedhof Leuben;FHL
Fritz-Meinhardt-Straße;FME
Fuchsberg;FUB
Fürstenhainer Straße;FTS
Fußweg nach Borthen;FBO
Gabelsbergerstraße;GAB
Gamigstraße;GAM
Gartenstraße;GRS
Gasanstaltstraße;GAS
Gasthof Weißig;GWE
Georg-Arnhold-Bad;GEA
Georg-Palitzsch-Straße;GPA
Gerichtsstraße;GER
Gerokstraße;GRO
Gewerbegebiet Kaditz;GKA
Gohlis;GOH
Gohliser Weg;GOW
Gombsener Straße;GMS
Gompitz,Gompitzer Höhe;GMP
Gondelweg;GDW
Göppersdorfer Weg;GPW
Gorbitz;GOR
Gorbitzer Straße;GOB
Görlitzer Straße;GLS
Gottfried-Keller-Straße;GKE
Gottleubaer Straße;GOT
Greifswalder Straße;GWS
Grenzstraße;GRE
Gret-Palucca-Straße;GPS
Grillparzerstraße;GRI
Grimmstraße;GRM
Großenh./F.-Reuter-Str.;GFS
Großenhainer Platz;GRP
Großglocknerstraße;GGL
Gruna;GRN
Grunaer Weg;GRW
Grundschule Luga;EGSL
Grundstraße;GRD
Grüner Weg;GNW
Güntzplatz;GUN
Gustav-Freytag-Straße;GFT
Gustavheim;GUS
Gutenbergstraße;GUT
H.-Steyer-Stadion;HST
Hamburger Straße;HAM
Hammerweg;HMW
Hänichenweg;HNW
Hans-Dankner-Straße;HDA
Hans-Oster-Str.;HAO
Hartigstraße;EHAT
Hauptbahnhof;HBF
Hauptbahnhof Nord;HBN
Hebbelplatz;HEB
Heckenweg;HEC
Heeresbäckerei;HBR
Hegereiterstraße;HEG
Heidefriedhof;HEF
Heideparkstraße;HPK
Heinrich-Greif-Straße;EHGR
Heinrich-Schütz-Straße;HSS
Heinrich-Tessenow-Weg;HTW
Heinrich-Zille-Straße;HZS
Helena-Rott-Straße;HRS
Hellerau Kiefernweg;HEL
Hellerhofstraße;HHO
Hellersiedlung;HLS
Helmholtzstraße;HHZ
Hendrichstraße;HNS
Hepkeplatz;HEK
Hepkestraße;HEP
Herkuleskeule;EHKK
Hermann-Michel-Straße;HMI
Hermann-Seidel-Straße;HSE
Heroldstraße;HRO
Hirtenstraße;HIR
Hochsch Technik/Wirtscha;EHSW
Höckendorfer Weg;HKW
Hohe Straße;HHS
Hohlweg;HOH
Hornweg;HOR
Hp.Weixdorf Bad;HPW
Hubertusplatz;HUB
Hüblerplatz;HUP
Hüfnerweg;HFW
Hugo-Bürkner-Straße;HBU
Hugo-Junkers-Ring;HJR
Hülße-Gymnasium;HGM
Hülßestraße;HUL
Hutbergstraße;HGS
Ikarusweg;IKW
Industriegebiet Nord;IDN
Industriepark Klotzsche;IPK
Infineon;KIN
Infineon Nord;IFN
Infineon Süd;IFS
Innsbrucker Straße;INN
Jacobistraße;JCS
Jacob-Winter-Platz;JWP
