Bonnewitz, Bonnewitz;BON
Borthen, Borthen;BTN
An der Triebe, Boxdorf (Moritzburg);ADT
Am Grunde, Boxdorf (Moritzburg);AGD
Am Weiher, Boxdorf (Moritzburg);AMW
Baumwiese, Boxdorf (Moritzburg);BAW
Bebelplatz, Boxdorf (Moritzburg);BEB
Ernst-Wagner-Straße, Boxdorf (Moritzburg);EWA
Feuerwehr Boxdorf, Boxdorf (Moritzburg);FBX
Querweg, Boxdorf (Moritzburg);QUW
Am Dathepark, Freital;ADA
Burgker Straße, Freital;BUR
Meßweg, Freital;MEW
Schule Kleinnaundorf, Freital;SKN
Steigerstraße, Freital;STG
Gombsen, Gombsen;GBS
Neugombsen, Gombsen;NGO
Rudolf-Walther-Straße, Gompitz;RWS
Autobahnmeisterei, Goppeln;ABM
Goppeln, Goppeln;GOP
Borsbergstraße, Graupa;BOB
Bonnewitzer Straße, Graupa;BWS
Tschaikowskiplatz, Graupa;GRA
Tiefer Grund, Graupa;TGR
Dresdner Straße, Heidenau;DRD
Bf. Heidenau, Heidenau;HDN
K.-Kollwitz-Straße, Heidenau;KKS
Klinikum Kreischa, Kreischa;KLK
Kreischa, Kreischa;KRE
Dorfplatz Pesterwitz, Pesterwitz;DFP
Obere Straße, Pesterwitz;OBS
Pesterwitz, Pesterwitz;PES
Wurgwitzer Straße, Pesterwitz;WWS
Altserkowitz, Radebeul;ASE
Bergblick, Radebeul;BBL
Borstraße, Radebeul;BOR
Dr.-Külz-Straße, Radebeul;DKU
Eduard-Bilz-Straße, Radebeul;EBI
Eisenbahnbrücke, Radebeul;EIS
Fichtestraße, Radebeul;FIS
Flemmingstraße, Radebeul;FLM
Forststraße, Radebeul;FOR
Fritz-Schulze-Straße, Radebeul;FSR
Gellertstraße, Radebeul;GES
Gerhart-Hauptmann-Straße, Radebeul;GHA
Gradsteg, Radebeul;GST
Gutenbergstraße, Radebeul;GBG
Hauptstraße, Radebeul;HPT
Johannisbergstraße, Radebeul;JHA
Kaufland, Radebeul;KLR
Landesbühnen Sachsen, Radebeul;LDB
Nizzastraße, Radebeul;NIZ
Radebeul Ost, Radebeul;RBO
Reichsstraße, Radebeul;RES
S-Bf. Weintraube, Radebeul;SWT
Schildenstraße, Radebeul;SIL
Schloß Wackerbarth, Radebeul;SWA
Wasastraße, Radebeul;WAA
Zillerstraße, Radebeul;ZIL
Zinzendorfstraße, Radebeul;ZIZ
Röhrsdorf, Röhrsdorf (b Pirna);ROE
Fußweg nach Sobrigen, Sobrigau;FSO
Hummelmühle, Sobrigau;HUM
Sechserhaus, Sobrigau;SHS
Florian-Geyer-Weg, Weinböhla;EFYW
Haltepunkt Weinböhla, Weinböhla;EHWB
Weinböhla Kirchplatz, Weinböhla;EWBK
Köhlerstraße, Weinböhla;KOL
Weinböhla, Weinböhla;WBL
