Bonnewitz, Bonnewitz;BON
Borthen, Borthen;BTN
An der Triebe, Boxdorf (Moritzburg);ADT
Am Grunde, Boxdorf (Moritzburg);AGD
Am Weiher, Boxdorf (Moritzburg);AMW
Baumwiese, Boxdorf (Moritzburg);BAW
Bebelplatz, Boxdorf (Moritzburg);BEB
Schule Boxdorf, Boxdorf (Moritzburg);BSC
Ernst-Wagner-Straße, Boxdorf (Moritzburg);EWA
Feuerwehr Boxdorf, Boxdorf (Moritzburg);FBX
Querweg, Boxdorf (Moritzburg);QEW
Auerstraße, Coswig (b Dresden);AUE
Coswig Zentrum/Börse, Coswig (b Dresden);CWB
Salzstraße VGM, Coswig (b Dresden);EVSA
Radebeuler Straße, Coswig (b Dresden);RAD
Rathaus Coswig, Coswig (b Dresden);RCW
Steinbacher Weg, Coswig (b Dresden);SBW
Salzstraße, Coswig (b Dresden);SLZ
Am Dathepark, Freital;ADA
Am Windberg, Freital;AWI
Busbahnhof Deuben, Freital;BBD
Burgker Straße, Freital;BUR
Meßweg, Freital;MEW
Neumarkt, Freital;NEM
Platz des Friedens, Freital;PDF
Burgk, Schule, Freital;SCB
Schachtstraße, Freital;SCS
Schule Kleinnaundorf, Freital;SKN
Steigerstraße, Freital;STG
Windbergallee, Freital;AWI
Burgk, Zschiedge, Freital;ZSC
Gombsen, Gombsen;GBS
Neugombsen, Gombsen;NGO
Rudolf-Walther-Straße, Gompitz;RWS
Autobahnmeisterei, Goppeln;ABM
Goppeln, Goppeln;GOP
Borsbergstraße, Graupa;BOB
Bonnewitzer Straße, Graupa;BWS
Tschaikowskiplatz, Graupa;GRA
Tiefer Grund, Graupa;TGR
Dresdner Straße, Heidenau;DRD
Bf. Heidenau, Heidenau;HDN
K.-Kollwitz-Straße, Heidenau;KKS
Haußmannplatz, Kreischa;HAP
Klinikum Kreischa, Kreischa;KLK
Kreischa, Kreischa;KRE
Dorfplatz Pesterwitz, Pesterwitz;DFP
Obere Straße, Pesterwitz;OBS
Pesterwitz, Pesterwitz;PES
Wurgwitzer Straße, Pesterwitz;WWS
Zum Weinberg, Pesterwitz;ZWB
Altserkowitz, Radebeul;ASE
Bergblick, Radebeul;BBL
Borstraße, Radebeul;BOR
Dr.-Külz-Straße, Radebeul;DKU
Eduard-Bilz-Straße, Radebeul;EBI
Eisenbahnbrücke, Radebeul;EIS
Fichtestraße, Radebeul;FIS
Flemmingstraße, Radebeul;FLM
Forststraße, Radebeul;FOR
Fritz-Schulze-Straße, Radebeul;FSR
Gutenbergstraße, Radebeul;GBG
Gerhart-Hauptmann-Straße, Radebeul;GHA
Gradsteg, Radebeul;GST
Hauptstraße, Radebeul;HPT
Hospiz, Radebeul;HRD
Hp. Radebeul-Weintraube, Radebeul;HWT
Johannisbergstraße, Radebeul;JHA
Kaufland, Radebeul;KLR
Landesbühnen Sachsen, Radebeul;LDB
Moritzburger Straße, Radebeul;MOG
Nizzastraße, Radebeul;NIZ
Radebeul Ost, Radebeul;RBO
Radebeul West, Radebeul;RBW
Reichsstraße, Radebeul;RES
Schildenstraße, Radebeul;SIL
Schloß Wackerbarth, Radebeul;SWA
Wasastraße, Radebeul;WAA
Zillerstraße, Radebeul;ZIL
Zinzendorfstraße, Radebeul;ZIZ
Röhrsdorf, Röhrsdorf (b Pirna);ROE
Fußweg nach Sobrigen, Sobrigau;FSO
Hummelmühle, Sobrigau;HUM
Sechserhaus, Sobrigau;SHS
Florian-Geyer-Weg, Weinböhla;EFYW
Haltepunkt Weinböhla, Weinböhla;EHWB
Weinböhla Kirchplatz, Weinböhla;EWBK
Gellertstraße, Weinböhla;GES
Köhlerstraße, Weinböhla;KOL
Weinböhla, Weinböhla;WBL
