Nummer;Name mit Ort;Name ohne Ort;Ort;Tarifzone 1 ;Tarifzone 2;Tarifzone 3;WGS84_X;WGS84_Y
de:14612:1;Dresden Bahnhof Mitte;Bahnhof Mitte;Dresden;0100;;;13,723395;51,055642
de:14612:3;Dresden Prager Straße;Prager Straße;Dresden;0100;;;13,737826;51,047148
de:14612:4;Dresden Altmarkt;Altmarkt;Dresden;0100;;;13,738498;51,050249
de:14612:5;Dresden Pirnaischer Platz;Pirnaischer Platz;Dresden;0100;;;13,743974;51,049475
de:14612:6;DD Deutsches Hygiene-Museum;Deutsches Hygiene-Museum;Dresden;0100;;;13,750080;51,04763
de:14612:7;Dresden Straßburger Platz;Straßburger Platz;Dresden;0100;;;13,754985;51,04611
de:14612:8;Dresden Großer Garten;Großer Garten;Dresden;0100;;;13,751329;51,042569
de:14612:9;Dresden Dürerstraße;Dürerstraße;Dresden;0100;;;13,757915;51,051918
de:14612:10;Dresden Sachsenallee;Sachsenallee;Dresden;0100;;;13,757375;51,054605
de:14612:11;Dresden Rosa-Luxemburg-Platz;Rosa-Luxemburg-Platz;Dresden;0100;;;13,752917;51,059319
de:14612:12;DD Bautzner/Rothenburger Str.;Bautzner/Rothenburger Straße;Dresden;0100;;;13,751900;51,062985
de:14612:13;Dresden Albertplatz;Albertplatz;Dresden;0100;;;13,746748;51,063313
de:14612:14;Dresden Carolaplatz;Carolaplatz;Dresden;0100;;;13,745960;51,057527
de:14612:15;Dresden Synagoge;Synagoge;Dresden;0100;;;13,747111;51,052475
de:14612:16;Dresden Bahnhof Neustadt;Bahnhof Neustadt;Dresden;0100;;;13,740879;51,065433
de:14612:17;Dresden Anton-/Leipziger Str.;Anton-/Leipziger Straße;Dresden;0100;;;13,736996;51,06309
de:14612:18;Dresden Palaisplatz;Palaisplatz;Dresden;0100;;;13,738400;51,060202
de:14612:19;Dresden Neustädter Markt;Neustädter Markt;Dresden;0100;;;13,741278;51,057822
de:14612:20;Dresden Theaterplatz;Theaterplatz;Dresden;0100;;;13,736583;51,053576
de:14612:21;DD Kongresszentrum/H d Presse;Kongresszentrum/Haus d Presse;Dresden;0100;;;13,727787;51,058292
de:14612:22;Dresden Maxstraße (Bf Mitte);Maxstraße (Bf Mitte);Dresden;0100;;;13,726665;51,056888
de:14612:23;Dresden Schweriner Straße;Schweriner Straße;Dresden;0100;;;13,726697;51,052761
de:14612:25;Dresden Hp Freiberger Straße;Hp Freiberger Straße;Dresden;0100;;;13,720125;51,048615
de:14612:26;Dresden Alfred-Althus-Straße;Alfred-Althus-Straße;Dresden;0100;;;13,725767;51,050392
de:14612:27;Dresden Budapester Straße;Budapester Straße;Dresden;0100;;;13,724893;51,043753
de:14612:28;Dresden Hauptbahnhof;Hauptbahnhof;Dresden;0103;;;13,732176;51,040202
de:14612:29;Dresden Walpurgisstraße;Walpurgisstraße;Dresden;0100;;;13,737658;51,043807
de:14612:30;Dresden Gret-Palucca-Straße;Gret-Palucca-Straße;Dresden;0100;;;13,739724;51,038831
de:14612:32;Dresden Hauptbahnhof Nord;Hauptbahnhof Nord;Dresden;0100;;;13,735085;51,041364
de:14612:33;Dresden Webergasse;Webergasse;Dresden;0100;;;13,734380;51,048053
de:14612:34;Dresden Ammon-/Budapester Str.;Ammon-/Budapester Str.;Dresden;0100;;;13,725993;51,043827
de:14612:35;Dresden Am Zwingerteich;Am Zwingerteich;Dresden;0100;;;13,730369;51,054469
de:14612:36;Dresden Hbf (Friedr-List-Pl);Hauptbahnhof (Friedr-List-Pl);Dresden;0103;;;13,733806;51,038803
de:14612:37;Dresden Postplatz;Postplatz;Dresden;0100;;;13,733586;51,050852
de:14612:40;Dresden Güntzplatz;Güntzplatz;Dresden;0100;;;13,759378;51,05364
de:14612:41;Dresden Permoserstraße;Permoserstraße;Dresden;0100;;;13,763026;51,053162
de:14612:42;Dresden Trinitatisplatz;Trinitatisplatz;Dresden;0100;;;13,769830;51,052448
de:14612:43;DD Blasewitzer/Fetscherstraße;Blasewitzer/Fetscherstraße;Dresden;0100;;;13,777706;51,052886
de:14612:44;Dresden Gabelsbergerstraße;Gabelsbergerstraße;Dresden;0100;;;13,774500;51,049608
de:14612:45;Dresden Universitätsklinikum;Universitätsklinikum;Dresden;0100;;;13,780955;51,056522
de:14612:46;Dresden Pfotenhauerstraße;Pfotenhauerstraße;Dresden;0100;;;13,777531;51,058732
de:14612:47;Dresden Johannstadt;Johannstadt;Dresden;0100;;;13,782399;51,059197
de:14612:48;Dresden Augsburger Straße;Augsburger Straße;Dresden;0100;;;13,781672;51,053284
de:14612:49;Dresden Königsheimplatz;Königsheimplatz;Dresden;0100;;;13,786942;51,053824
de:14612:50;Dresden Lene-Glatzer-Straße;Lene-Glatzer-Straße;Dresden;0100;;;13,792247;51,053796
de:14612:51;Dresden Prellerstraße;Prellerstraße;Dresden;0100;;;13,798707;51,053014
de:14612:52;Dresden Schillerplatz;Schillerplatz;Dresden;0109;;;13,805107;51,052187
de:14612:53;Dresden Kretschmerstraße;Kretschmerstraße;Dresden;0100;;;13,808100;51,051035
de:14612:54;Dresden Heinrich-Schütz-Straße;Heinrich-Schütz-Straße;Dresden;0100;;;13,812840;51,046035
de:14612:55;Dresden Gustav-Freytag-Straße;Gustav-Freytag-Straße;Dresden;0100;;;13,812931;51,041808
de:14612:56;Dresden Jüngststraße;Jüngststraße;Dresden;0100;;;13,809784;51,049238
de:14612:61;Dresden Krhs. St. Joseph-Stift;Krhs. St. Joseph-Stift;Dresden;0100;;;13,762982;51,046762
de:14612:62;Dresden Fetscherplatz;Fetscherplatz;Dresden;0100;;;13,770853;51,046346
de:14612:63;Dresden Mosenstraße;Mosenstraße;Dresden;0100;;;13,777783;51,04483
de:14612:64;Dresden Bergmannstraße;Bergmannstraße;Dresden;0100;;;13,788348;51,043302
de:14612:65;Dresden Pohlandplatz;Pohlandplatz;Dresden;0100;;;13,795333;51,042871
de:14612:66;Dresden Gottleubaer Straße;Gottleubaer Straße;Dresden;0100;;;13,800943;51,041176
de:14612:67;Dresden Altenberger Straße;Altenberger Straße;Dresden;0100;;;13,805868;51,039491
de:14612:68;Dresden Ludwig-Hartmann-Straße;Ludwig-Hartmann-Straße;Dresden;0100;;;13,808692;51,038035
de:14612:69;Dresden Johannisfriedhof;Johannisfriedhof;Dresden;0100;;;13,812679;51,036796
de:14612:70;Dresden Tolkewitz Urnenhain;Tolkewitz Urnenhain;Dresden;0100;;;13,817362;51,03551
de:14612:71;Dresden Wasserwerk Tolkewitz;Wasserwerk Tolkewitz;Dresden;0100;;;13,823134;51,033999
de:14612:72;Dresden Alttolkewitz;Alttolkewitz;Dresden;0100;;;13,832375;51,029719
de:14612:73;Dresden Hermann-Seidel-Straße;Hermann-Seidel-Straße;Dresden;0100;;;13,834652;51,027823
de:14612:74;Dresden Leubener Straße;Leubener Straße;Dresden;0100;;;13,837413;51,024813
de:14612:75;Dresden Kronstädter Platz;Kronstädter Platz;Dresden;0100;;;13,838648;51,022869
de:14612:76;Dresden Laibacher Straße;Laibacher Straße;Dresden;0100;;;13,833540;51,021673
de:14612:77;Dresden Großglocknerstraße;Großglocknerstraße;Dresden;0100;;;13,830151;51,01742
de:14612:78;Dresden Friedhof Leuben;Friedhof Leuben;Dresden;0100;;;13,824159;51,013271
de:14612:80;Dresden St.-Benno-Gymnasium;St.-Benno-Gymnasium;Dresden;0100;;;13,757177;51,049753
de:14612:81;Dresden Comeniusplatz;Comeniusplatz;Dresden;0100;;;13,766468;51,041666
de:14612:82;Dresden Lipsiusstraße;Lipsiusstraße;Dresden;0100;;;13,771414;51,03974
de:14612:83;Dresden Karcherallee;Karcherallee;Dresden;0100;;;13,778098;51,037058
de:14612:84;Dresden Zwinglistraße;Zwinglistraße;Dresden;0100;;;13,783458;51,034063
de:14612:85;Dresden Liebstädter Straße;Liebstädter Straße;Dresden;0100;;;13,789285;51,030235
de:14612:86;Dresden Rauensteinstraße;Rauensteinstraße;Dresden;0100;;;13,795201;51,028391
de:14612:87;Dresden Rennplatzstraße;Rennplatzstraße;Dresden;0100;;;13,800420;51,027331
de:14612:88;Dresden Marienberger Straße;Marienberger Straße;Dresden;0100;;;13,805368;51,025519
de:14612:89;Dresden Prof.-Ricker-Straße;Prof.-Ricker-Straße;Dresden;0100;;;13,808919;51,023379
de:14612:90;Dresden Lassallestraße;Lassallestraße;Dresden;0100;;;13,811901;51,020168
de:14612:91;Dresden Abzweig nach Reick;Abzweig nach Reick;Dresden;0100;;;13,816180;51,016236
de:14612:92;Dresden Rottwerndorfer Straße;Rottwerndorfer Straße;Dresden;0100;;;13,821163;51,013551
de:14612:93;Dresden Altleuben;Altleuben;Dresden;0100;;;13,825963;51,01202
de:14612:94;Dresden Berthold-Haupt-Straße;Berthold-Haupt-Straße;Dresden;0101;;;13,830912;51,009974
de:14612:95;Dresden Leuben Klettestraße;Leuben Klettestraße;Dresden;0100;;;13,827987;51,007322
de:14612:96;Dresden Guerickestraße;Guerickestraße;Dresden;0100;;;13,826955;51,005352
de:14612:97;Dresden Straße des 17. Juni;Straße des 17. Juni;Dresden;0100;;;13,825963;51,002967
de:14612:98;Dresden Bf Niedersedlitz;Bf Niedersedlitz;Dresden;0101;;;13,828714;50,999364
de:14612:99;Dresden Heckenweg;Heckenweg;Dresden;0100;;;13,840551;51,008671
de:14612:100;Dresden Meußlitzer Straße;Meußlitzer Straße;Dresden;0101;;;13,848933;51,008036
de:14612:101;Dresden Freystraße;Freystraße;Dresden;0100;;;13,854782;51,008203
de:14612:103;Dresden Försterlingstraße;Försterlingstraße;Dresden;0101;;;13,829705;51,00067
de:14612:111;Dresden Lennéplatz;Lennéplatz;Dresden;0100;;;13,746609;51,038378
de:14612:112;Dresden Zoo;Zoo;Dresden;0100;;;13,752172;51,036937
de:14612:113;Dresden Querallee;Querallee;Dresden;0100;;;13,758325;51,034507
de:14612:114;Dresden Julius-Otto-Straße;Julius-Otto-Straße;Dresden;0100;;;13,757652;51,032549
de:14612:115;Dresden Wasaplatz;Wasaplatz;Dresden;0100;;;13,759181;51,028121
de:14612:116;Dresden Mockritzer Straße;Mockritzer Straße;Dresden;0100;;;13,762281;51,024532
de:14612:117;Dresden Hugo-Bürkner-Straße;Hugo-Bürkner-Straße;Dresden;0100;;;13,765437;51,022426
de:14612:118;Dresden Cäcilienstraße;Cäcilienstraße;Dresden;0100;;;13,769938;51,024965
de:14612:119;Dresden Eugen-Bracht-Straße;Eugen-Bracht-Straße;Dresden;0100;;;13,774313;51,022705
de:14612:120;Dresden Otto-Dix-Ring;Otto-Dix-Ring;Dresden;0100;;;13,780546;51,019464
de:14612:121;Dresden Wieckestraße;Wieckestraße;Dresden;0100;;;13,783825;51,017625
de:14612:122;Dresden Lohrmannstraße;Lohrmannstraße;Dresden;0100;;;13,786934;51,015833
de:14612:123;Dresden Hülßestraße;Hülßestraße;Dresden;0100;;;13,790807;51,013526
de:14612:124;Dresden Altreick;Altreick;Dresden;0100;;;13,795121;51,013037
de:14612:125;Dresden Mügelner Straße;Mügelner Straße;Dresden;0100;;;13,806409;51,010886
de:14612:126;Dresden Breitscheidstraße;Breitscheidstraße;Dresden;0100;;;13,811494;51,013747
de:14612:127;Dresden Trattendorfer Straße;Trattendorfer Straße;Dresden;0100;;;13,800808;51,010127
de:14612:128;Dresden Betriebshof Reick;";hof Reick";Dresden;0100;;;13,804663;51,010688
de:14612:131;Dresden Reichenbachstraße;Reichenbachstraße;Dresden;0103;;;13,731387;51,035126
de:14612:132;Dresden Nürnberger Platz;Nürnberger Platz;Dresden;0100;;;13,726943;51,031775
de:14612:133;Dresden Südvorstadt;Südvorstadt;Dresden;0100;;;13,722080;51,034041
de:14612:134;Dresden Münchner Platz;Münchner Platz;Dresden;0100;;;13,721570;51,029895
de:14612:135;Dresden Plauen Nöthnitzer Str.;Plauen Nöthnitzer Str.;Dresden;0100;;;13,715769;51,027625
de:14612:137;Dresden Jahnstraße;Jahnstraße;Dresden;0100;;;13,723966;51,0545
de:14612:140;Dresden Löbtau Gröbelstraße;Löbtau Gröbelstraße;Dresden;0104;;;13,702331;51,04332
de:14612:141;Dresden Rosenstraße;Rosenstraße;Dresden;0100;;;13,713278;51,046657
de:14612:142;Dresden Oederaner Straße;Oederaner Straße;Dresden;0100;;;13,709619;51,044886
de:14612:143;Dresden Saxoniastraße;Saxoniastraße;Dresden;0100;;;13,706268;51,043739
de:14612:144;Dresden Tharandter Straße;Tharandter Straße;Dresden;0104;;;13,703473;51,043735
de:14612:145;Dresden Bünaustraße;Bünaustraße;Dresden;0104;;;13,698662;51,04358
de:14612:146;Dresden Malterstraße;Malterstraße;Dresden;0104;;;13,691273;51,042752
de:14612:147;Dresden Koblenzer Straße;Koblenzer Straße;Dresden;0104;;;13,683420;51,042461
de:14612:148;Dresden Wölfnitz;Wölfnitz;Dresden;0100;;;13,681660;51,043098
de:14612:149;Dresden Weißeritzstraße;Weißeritzstraße;Dresden;0100;;;13,722869;51,058373
de:14612:150;Dresden Neuer Annenfriedhof;Neuer Annenfriedhof;Dresden;0100;;;13,694133;51,043349
de:14612:153;Dresden Cottaer Straße;Cottaer Straße;Dresden;0100;;;13,713012;51,050275
